# KEY MDate MDate450 File_Name JD Elev T225 RMS RMS_450 Steve_offset_x Steve_offset_y Cal_f Cal_f_err Cal_f_450 Cal_f_err_450 AC_cal AC_cal_err AC_cal_450 AC_cal_err_450 JCMT_Offset_x JCMT_Offset_y JCMT_Offset_x_450 JCMT_Offset_y_450 XC_off_x XC_off_x_err XC_off_y XC_off_y_err XC_off_x_450 XC_off_x_err_450 XC_off_y_450 XC_off_y_err_450 B B_err M M_err B_450 B_err_450 M_450 M_err_450 AC_amp AC_amp_err AC_sig_x AC_sig_x_err AC_sig_y AC_sig_y_err AC_theta AC_theta_err AC_amp_450 AC_amp_err_450 AC_sig_x_450 AC_sig_x_err_450 AC_sig_y_450 AC_sig_y_err_450 AC_theta_450 AC_theta_err_450 dx dy dx_450 dy_450 ddx ddy 
20151222-19 20151222 20151222 IC348_20151222_00019 2457378.7284605987 54.0 0.064 0.01182 0.144 0.0 0.0 1.007665695363056 0.015136111838139033 1.0585762017877012 0.004510767342351341 1.03725556196904 0.07049887426667002 0.8803420208265494 5.617185929656856 0.0 0.0 0.0 0.0 0.0 0.6634471618158393 0.0 0.5704299295515632 0.0 0.4239729056015073 0.0 0.4309444838715265 2087.5304275601156 19.465506993422153 -25.181914443433755 0.7075490462417781 72030.23933482682 8814.503852111762 -813.3543729467395 320.3971896037286 2060.7794727042215 73.55893623197272 5.392862853475838 0.2603046402696622 6.459992018378528 0.3798542492107291 -5.23690434906362 0.21261546861010405 77972.95388794654 41502.11175056799 5.443145719705047 4.096977119946272 4.607754799556224 2.918453900799112 -0.33170519986620256 2.7110528064709265 0.0 0.0 0.0 0.0 0.0 0.0
20160115-22 20160115 20160115 IC348_20160115_00022 2457402.826018501 66.0 0.072 0.009275 0.1348 2.658641363014307 0.9132131999490412 1.035233469181242 0.00804343432367687 0.9520840368384216 0.016895953641868966 1.0191152796123282 0.06835384187762127 0.8592790783732837 2.4623173532731832 -6.0 6.0 -9.0 6.0 -6.062538351182383 0.23005153104134582 5.964727163338694 0.18411030197155692 -9.17463223223126 0.6536755369201127 5.945957743767082 0.5222021744580911 2029.9188563240739 18.585416615095713 -24.41970472686522 0.675558759045804 74482.41713789155 3777.905356893854 -777.563314062478 137.3225636279353 2023.6184589573704 49.48898522206729 6.475042069145642 0.26962373012751895 5.201815346811365 0.16742621919220202 -0.42544569480767613 0.1132210040785743 79685.67241972928 16308.860211579 6.010764603013442 1.9232396053804994 4.792830996491355 1.1992588992545832 5.889848608306876 0.8332872648607571 0.18761505354714814 0.10581850998391928 0.3492644644625216 0.10808451246583672 -0.16164941091537344 -0.0022660024819174396
20160205-18 20160205 20160205 IC348_20160205_00018 2457423.7676156983 67.0 0.037 0.0129 0.0936 2.3521606140109976 4.049147843757623 0.9585252929018787 0.014201337906007838 0.7357147772810139 0.01018766693681794 0.9921315800000251 0.07526694710893057 0.7397790137934315 1.0617330275496037 -8.0 6.0 -12.0 6.0 -8.04034940172869 0.22887423329017928 5.837672389785496 0.18644487439289026 -12.119603737922489 0.47222513688014334 5.861015014251876 0.41019312627480886 2002.5409595363328 19.993651908924644 -23.307587061698875 0.7267465089995 62131.72055922752 1418.691534129329 -589.7486587585439 51.56782375279261 1996.3106508240776 62.339990002864425 6.542432013838185 0.35106401063225245 5.324266331132397 0.22375730106144048 -0.440002024361869 0.1576195898977333 63351.9685709999 5727.317284369916 6.68162582390366 1.0304670930624318 5.740962239363408 0.7462840130477979 11.999751687329258 0.6908487634183149 0.12104820518607085 0.48698283064351244 0.23920747584497803 0.2779699714962476 -0.11815927065890719 0.20901285914726486
20160226-20 20160226 20160226 IC348_20160226_00020 2457444.7896065004 44.0 0.054 0.01206 0.1682 2.8278901815670507 3.9827849026082163 0.9591239240279751 0.013335190300611564 0.8412607745250945 0.048034047300287035 0.9694073095311851 0.06058293999459799 0.7937846529852793 3.855193211379491 -3.0 13.0 -4.0 12.0 -3.214252840966509 0.22150274001341003 13.136063667921519 0.18574181302746207 -4.270924617080425 0.6690211099601453 12.277167610411624 0.5835431624379709 1799.321219254812 15.773477614244252 -22.391123049812858 0.573347969900197 57821.01423497737 5496.441960886304 -671.4174994240639 199.78941366406576 1785.507057301175 51.588738454446144 5.223976203352206 0.19757408314902786 6.302617341748023 0.289381858793008 -5.2502116550826345 0.1607735737258986 61182.027505283506 24646.497413696965 4.9199757324430555 2.416100040822492 5.388345991066192 2.8184781394306366 0.7961974492977939 4.272609053831922 0.642758522899527 -0.4081910037645571 0.5418492341608498 -0.5543352208232477 0.1009092887386771 0.14614421705869063
20160318-27 20160318 20160318 IC348_20160318_00027 2457465.7467245013 39.0 0.048 0.01117 0.1458 5.346806617099271 0.7814110806299368 0.9346644184181988 0.017217902750496884 0.8311707140997815 0.020968349025821287 0.9422724592079849 0.055024290856594424 0.8104466744008426 2.8613521600417764 -1.0 14.0 -2.0 14.0 -1.02047436238513 0.21665017408707377 13.876238588654587 0.1914164382512349 -1.9745216370419314 0.6516012772901614 13.927806769876554 0.5476580033700785 1789.6597393299649 13.979639825365767 -21.320860163385753 0.5081440102559939 66967.7072912292 4158.526991899663 -697.6829279353807 151.1577279623896 1780.3832136769952 45.28219409491437 5.388129031959957 0.1829371927436709 6.318986219712477 0.24965870910412807 -24.226739689322983 0.17576837033040962 69433.19945699481 18736.133483414644 5.328076403338971 1.8931900350819177 5.936078123924417 2.3243771941944154 25.782341009991228 2.626322290508308 0.06142308715539002 0.37128423403623856 -0.0509567259161372 0.14438646024689206 0.11237981307152722 0.2268977737893465
20160417-9 20160417 20160417 IC348_20160417_00009 2457495.6792708 35.0 0.036 0.01157 0.1073 2.9824114826342885 4.2648744612091605 0.9153823738458757 0.0045376634548740255 0.7472391932290909 0.02020237657606599 0.8877874016448658 0.06607730185647666 0.671311992095806 1.4424649897670836 -2.0 14.0 -2.0 14.0 -2.0114783900892803 0.22229069953904534 13.838075722328966 0.1770492118019152 -1.6866476696156099 0.54654611156999 13.494057801260936 0.4157296443077321 1701.7461170453037 15.952103992073612 -19.25098715233172 0.5798408373385577 55677.38552534219 1763.7189453409273 -493.8213343875421 64.1091769216984 1690.4087369278407 46.92433688587235 5.456610874998114 0.20904442005909232 6.723289655181602 0.3321538296520647 -8.30006773862986 0.1429576514807687 56664.240715074026 7189.645621704865 5.620445950007192 1.0276130337075942 7.48030956412923 2.064421735970085 -1.8866228479071172 0.48557384523823455 0.03443517026784093 0.48577283301310104 -0.6267046607687803 1.011884397478127 0.6611398310366212 -0.526111564465026
20160826-40 20160826 -1 IC348_20160826_00040 2457627.2984954007 39.0 0.082 0.01497 -1 4.374097812829757 -0.6364816648087412 0.9593314527765541 0.017476109515085676 -1 -1 0.9513992287645942 0.08143358439757659 -1 -1 -2.0 15.0 -2.0 16.0 -2.1614938653537763 0.23534855800279303 15.00901453472963 0.1873592595961164 -4.614065855758639 2.659465788596459 13.85525167399004 2.828664014424189 1703.8824793801452 20.861786193748298 -21.677916482010584 0.7583022004920891 -8473.615784573087 98215.9047073295 2978.584664929573 3570.036650740192 1693.647297291899 79.18931719153834 6.303117426339398 0.4810331157600466 5.0835652977212975 0.30543665957231264 -3.588489002814206 0.21627151257711166 257413.13323133154 -5.0 0.5961112523824736 -5.0 0.9650449407755243 -5.0 -5.58534699370078 -5.0 0.4844815960613289 -0.027043604188889958 5.228131711517278 4.2894966520199205 -4.743650115455949 -4.31654025620881
20161126-22 20161126 20161126 IC348_20161126_00022 2457718.7500693984 40.0 0.049 0.009727 0.09345 4.673272001758877 0.09634955897865893 1.2118067787257623 0.030727039702483104 1.311743686097583 0.07352746488783513 1.2064773195160687 0.07829645065416901 1.2925261074477135 1.3479256879611874 2.0 -2.0 2.0 -3.0 1.669116424965722 0.23563861857351456 -2.34088847690208 0.18939180371014247 1.6797762145800164 0.43437388279172107 -3.7733083898949076 0.3643269542180346 2499.075515900205 24.694017474325214 -32.85647835668023 0.897599448462414 108813.95184141018 3036.128124182372 -1675.829969629516 110.35980438189848 2500.1424460041094 72.85695507739909 6.097097227967409 0.2784784149381864 4.923525457684655 0.1791087060081758 -6.724995898318618 0.13068007835663192 114443.76158686189 13158.520079581544 4.1816422104069755 0.5342553206013205 5.079312722893419 0.7736646486016175 7.548122548749557 0.4696635026488051 0.992650725102834 1.0226654307062404 0.6404475708399673 1.5466167797898152 0.35220315426286675 -0.5239513490835748
20170209-28 20170209 20170209 IC348_20170209_00028 2457793.8217592984 46.0 0.089 0.01224 0.3702 3.0589107372645903 4.018197914165 1.0182665947594571 0.024943223387598162 0.9412275025117909 0.05301145329220618 1.1068769304910664 0.07509216297037005 1.4011158786324085 10.665372236075621 -4.0 13.0 -5.0 13.0 -4.110315530177843 0.2238995700826667 12.94464727045812 0.18861732211474722 161.3597788412097 25.491895041311025 -9.000129590353055 69.75146055027386 2357.3347742768924 21.947311341776754 -28.215976517503314 0.797759807984815 145856.212785616 25942.927290639767 -1954.3735941097125 942.9959038569302 2340.420872767289 72.5261932595026 5.281614711159719 0.2152727627204627 6.506062663510752 0.32492766723340316 4.071842955568203 0.16364562691764373 162847.32542474644 126074.80461685019 5.0870032490946295 4.801306535457374 4.049686680857062 3.410438101688149 0.6913903752632838 2.886793063823062 0.3309465905335287 0.16605818862564092 -332.7195576824194 44.00025918070611 333.05050427295294 -43.83420099208047
20170320-19 20170320 20170320 IC348_20170320_00019 2457832.726423599 43.0 0.086 0.01141 0.4231 4.3869227943236195 4.506460496000955 0.9668831674482631 0.004334836306396235 0.8817850234441451 0.039246071416333954 0.9625824503051338 0.06945090738324171 1.2478717593151443 11.376895627741911 -2.0 14.0 -3.0 13.0 -2.099639289128646 0.2380326885260992 14.03400056802326 0.1845677455744299 -17.633814312284812 -5.0 76.52773776912485 -5.0 1737.9837117182371 17.972331688133334 -22.11946743557326 0.6532738183571507 76789.19123929435 24783.714994808935 -1567.4977328552457 900.8598473572874 1733.1526897101558 49.811949243944476 5.008273917991917 0.18272022495260462 6.334974751036802 0.30181594887140434 -8.273207104753864 0.11962223416446778 318697.1857160211 290254.1914841047 4.712227604514504 5.147507390330073 0.3982004954646606 0.35111838581669264 0.7690465251800243 0.16356923996946304 0.2989178673859385 -0.10200170406977804 29.267628624569625 -127.05547553824971 -28.968710757183686 126.95347383417993
