# KEY MDate MDate450 File_Name JD Elev T225 RMS RMS_450 Steve_offset_x Steve_offset_y Cal_f Cal_f_err Cal_f_450 Cal_f_err_450 AC_cal AC_cal_err AC_cal_450 AC_cal_err_450 JCMT_Offset_x JCMT_Offset_y JCMT_Offset_x_450 JCMT_Offset_y_450 XC_off_x XC_off_x_err XC_off_y XC_off_y_err XC_off_x_450 XC_off_x_err_450 XC_off_y_450 XC_off_y_err_450 B B_err M M_err B_450 B_err_450 M_450 M_err_450 AC_amp AC_amp_err AC_sig_x AC_sig_x_err AC_sig_y AC_sig_y_err AC_theta AC_theta_err AC_amp_450 AC_amp_err_450 AC_sig_x_450 AC_sig_x_err_450 AC_sig_y_450 AC_sig_y_err_450 AC_theta_450 AC_theta_err_450 dx dy dx_450 dy_450 ddx ddy 
20160115-84 20160115 20160115 OPH_CORE_20160115_00084 2457403.324884299 43.0 0.067 0.01266 0.2571 0.0 0.0 0.9044928172625188 0.011226447031566106 0.8217496029124844 0.0054866625011232295 0.9073414464019421 0.3479726512208944 0.37578796918454505 11.9066720397879 0.0 0.0 0.0 0.0 0.0 0.16843027646064637 0.0 0.3484067300377921 0.0 0.28056404021106524 0.0 0.36200826843178757 39888.05694969382 297.051595498582 -240.71060105870774 10.797487660466045 52770.12529819806 9333.579287681976 -202.97255213674714 339.2649883385816 38880.19761400541 431.1314945294989 12.383342360666802 0.7468563205275093 7.609441433528658 0.18756733867856232 4.605838895834456 0.038683287275947435 56898.36692495006 38373.547673564906 7.633665217308266 11.867967851785949 6.269966544231177 7.1097880614002555 0.19352424777970395 3.8130536743041596 0.0 0.0 0.0 0.0 0.0 0.0
20160205-63 20160205 20160205 OPH_CORE_20160205_00063 2457424.1739583015 39.0 0.038 0.01099 0.08033 -6.722616361333493 -1.874516498835074 1.0808192946555852 0.009493028659492014 1.1204528045819941 0.07018397198188919 1.0800592134996179 0.4139361180369409 0.9140161370876762 1.8328501870899703 2.0 -6.0 3.0 -7.0 1.7973151292329987 0.1677901545610976 -5.717390157713254 0.363498348722644 2.295869553052569 1.0336325795293206 -7.0 0.8371955786764723 52250.68847416841 417.71661871321 -336.3709919708216 15.183524204347627 95005.57150337058 2853.0059286208348 -800.3373265287453 103.70352050126372 50910.98837004104 605.3605839660214 7.307816401497689 0.18139307463167667 11.970661912656146 0.7323936668223999 -6.352308176867831 0.03819589518024809 94835.70155848128 11807.233518902023 7.095703460212215 1.7535947967924395 6.783582561218477 1.5659084500596208 28.5982600304239 3.324397748134087 0.6080546123010038 -0.847829526860238 1.4082608938948624 0.0 -0.8002062815938586 -0.847829526860238
20160226-51 20160226 20160226 OPH_CORE_20160226_00051 2457445.094097201 36.0 0.045 0.009732 0.09405 -4.744044537815157 1.368873317310048 1.0832971380806584 0.011346158572708579 1.1621460713147977 0.08284078835578734 1.0698697455429895 0.40421499368441155 0.8792238453789799 1.946159184579002 2.0 -10.0 6.0 -11.0 1.9332882464713066 0.1691160848236053 -9.917684941228913 0.36586467025322916 5.271253538358906 1.2903021129737282 -11.0 0.903040989961037 50430.69746503887 404.19929655779623 -330.2842976465122 14.692184656328783 93319.60047419425 2932.173259990889 -749.7978624064326 106.58116297854674 49137.09323162731 597.2502620357252 7.250003127275449 0.18163713761802183 11.771905246847297 0.7127869841648448 3.0559747522119167 0.039243148974638035 94604.12506986076 11509.577256456834 6.632741902682113 1.4796138806395063 7.010106120535053 1.707303660810846 -1.3646487258293034 2.4195664411387425 0.20013526058608022 -0.24694517631326107 1.4574929232821887 0.0 -1.2573576626961085 -0.24694517631326107
20160319-65 20160319 20160319 OPH_CORE_20160319_00065 2457467.1138889007 45.0 0.044 0.01157 0.1229 -3.531925411722992 0.1637619455511764 1.0594607390004624 0.021953485663887537 0.892672743730921 0.08615078124406776 1.0129498807589532 0.3918328724246722 0.7119317729499791 3.332549776983496 2.0 -2.0 3.0 -3.0 1.8679207247625982 0.16535953617321264 -1.8162634161211315 0.35145225588665896 5.0 1.9139074030253982 -2.548536980829624 1.6499720585344357 46790.67350370876 371.74185314209666 -297.3054434392097 13.51239381035923 72338.49237981916 4220.592457289633 -529.8039599662953 153.413734063904 45571.84019273923 545.6113489735861 7.377072279629629 0.18691075054907114 12.117437686643303 0.7606462952344362 -3.237264967877529 0.03919249573667005 72612.71049260006 16621.65079443131 7.0793725998397345 3.0013062140890088 7.300398198108801 3.2217433594553038 -16.67328775235811 10.784824796074833 0.39623782571220545 -0.5512097516366055 -4.0 -0.9029260383407518 4.3962378257122054 0.35171628670414634
20160417-43 20160417 20160417 OPH_CORE_20160417_00043 2457495.9824537 41.0 0.038 0.01086 0.09869 -3.129903272589739 -0.39344912401162446 1.0494296784712316 0.013280551343203856 0.8700621575259067 0.06036959726143059 1.0388806461088715 0.3736633695507976 0.8825706978281666 1.521900606751802 3.0 -7.0 5.0 -7.0 2.902218377371952 0.16352254304815184 -6.754282038579902 0.34432636269886857 4.0 1.013798377395195 -6.58886265731519 0.7599255739676756 49525.835259275715 363.22574323418036 -312.11443290166346 13.202842648991913 88443.04268951205 2300.2782382174582 -754.5878694988428 83.61249741236557 48263.96577910506 553.9866800268977 7.475017105550693 0.18584240029898103 11.831902771276768 0.6817545743316142 -0.07965752713626341 0.04014328749680205 87455.74463059453 9470.72255978802 7.652821828478953 1.8998038355381281 6.65074658896194 1.3154719530905048 0.2201414855223504 0.9050921988836567 0.2933448678841444 -0.7371538842602945 2.0 -0.8222746853696208 -1.7066551321158556 0.0851208011093263
20160521-34 20160521 20160521 OPH_CORE_20160521_00034 2457529.8544676006 34.0 0.076 0.0164 0.5479 -2.4185664580099715 -0.08006748110176432 0.9066558945670671 0.027694776293497123 0.8050380285762491 0.012524144711150376 0.9474201821159628 0.34301120784744926 -1 -1 2.0 -9.0 5.0 -11.0 2.276246987004072 0.1685139000754251 -8.939112416971199 0.3619988723028084 -183.60539289615866 -5.0 87.61818540159707 -5.0 42035.58950802454 305.19076769479824 -261.48562913198305 11.093337328081189 -51688.325181274755 86044.07653565625 5307.898109648457 3127.6043324478123 41030.565843644865 446.4413695538847 7.477235695170748 0.17644001206835652 11.857038783007775 0.6516228377581382 -3.1981591409543535 0.037733744997775015 210370.0483506586 -5.0 0.7525454613726101 -5.0 0.5714282780321378 -5.0 -9.444163217370333 -5.0 -0.8287409610122154 -0.18266274908640412 377.2107857923173 -197.23637080319415 -378.03952675332954 197.05370805410774
20160826-11 20160826 -1 OPH_CORE_20160826_00011 2457626.7099536993 44.0 0.108 0.01824 -1 -3.9724879871104535 -0.7885934403626038 0.9237992344041809 0.010921402009384492 -1 -1 0.9106257985451426 0.3786064048910191 -1 -1 -1.0 0.0 -2.0 1.0 -0.885917617936343 0.16734099839179312 0.10744064890212712 0.367802485302912 -111.53351528845258 -5.0 -152.35224020184808 -5.0 38252.88074539104 324.3218133482508 -242.38072049092932 11.788729112581581 -163823.59790737447 319477.9709043012 14045.026473487862 11612.660919148595 37276.677230876085 446.50055234161357 7.297730910452085 0.18162747315389516 12.419506174395359 0.8180173610038868 3.0509453761251044 0.03683308321916201 1120468.6953772302 -5.0 0.5813218433899101 -5.0 1.127144641389121 -5.0 13.61445020019977 -5.0 -0.34224714619097085 -0.32232194670638137 219.06703057690515 306.70448040369615 -219.40927772309612 -307.02680235040253
20170206-83 20170206 -1 OPH_CORE_20170206_00083 2457791.1673610993 41.0 0.11 0.01351 -1 -0.9353958494098921 -0.26275990903670277 0.9920452035582952 0.007151302364443562 -1 -1 0.987853127945093 0.35944262020408585 2.9510966644942758 33.846362929430164 7.0 -7.0 9.0 -7.0 7.086417787341503 0.1636889974190323 -6.909028987850945 0.3470066024039012 133.56109622584796 923.2979444367932 35.321118166763995 994.106973711625 44674.997954469654 332.8924177459366 -283.3154922244162 12.100260739678726 293472.1599652982 151669.0672356187 -6632.720352129522 5512.998142870595 43540.53661813561 500.9753319318191 7.428086881657506 0.18328718693291324 11.835801564413806 0.6850007543459815 -3.2128372923902697 0.03938006986316953 2443836.8575647324 2615155.4578074543 0.19635795389938246 0.18705075369036334 6.453043403852764 14.763572070413348 3.4770549401011293 0.06578326421647326 -0.2592533620245092 -0.27291303644716436 -249.12219245169592 -84.64223633352799 248.8629390896714 84.36932329708083
20170320-53 20170320 20170320 OPH_CORE_20170320_00053 2457833.0468171015 38.0 0.062 0.01038 0.2079 -2.9770971130846218 1.6797125316123678 1.0379161487463762 0.011114387013791166 0.9135044531777301 0.030808043576541985 1.0384623726143092 0.38736267508675115 0.7773739699431035 4.354660866329743 5.0 -8.0 7.0 -9.0 4.789003705644376 0.16610163008833745 -7.6253353555404715 0.35933032555711447 -152.30565971668784 42601740.02522692 -0.9980214310209874 13112761.519303221 49224.62662766916 376.39653613176824 -311.8727020960996 13.681586119940912 64611.30560372536 5924.196873948027 -611.3247034514673 215.33781753331846 47990.59440102128 548.5800896348376 11.936377157724486 0.6987889401768486 7.39259887597033 0.179868485895253 1.5214145015968943 0.037922143870854436 67690.98527299109 24935.43279528308 6.463874144737834 4.12248015564964 5.358977331795983 2.695433586147986 5.91946449877822 1.9702246391124094 0.6329888830668722 -1.1239939333785856 318.6113194333757 -16.003957137958025 -317.9783305503088 14.87996320457944
20170419-33 20170419 -1 OPH_CORE_20170419_00033 2457862.9422454014 34.0 0.105 0.01486 -1 -1.48946245672806 0.7069329850951153 1.003138459790633 0.014010803928027634 -1 -1 1.0007845838998037 0.3659936589979324 3.5559063078556785 43.75318548150242 3.0 -10.0 8.0 -11.0 3.067105274173514 0.16728911104617195 -9.95360638707487 0.36124513304741934 106.11799764276093 949.8436165019828 111.29870283120292 3803.8152125291904 44954.038053678945 343.21974902093865 -290.48190946468424 12.47564769800344 601226.0821576698 234052.89943258435 -9452.144824304569 8507.55679182397 43836.0364728922 509.5825643586703 7.320893983477325 0.1783587411450943 11.692717564801612 0.6693284213328252 -6.352397990186516 0.038781800889145734 3029365.830261836 4683933.49979044 1.0289328739807062 1.6025104421048562 0.8941629587324693 1.3544643771924343 0.052490672736205765 7.922174843418815 -0.2013158225205416 -0.13918083877538834 -196.23599528552185 -244.59740566240583 196.0346794630013 244.45822482363045
