# KEY MDate MDate450 File_Name JD Elev T225 RMS RMS_450 Steve_offset_x Steve_offset_y Cal_f Cal_f_err Cal_f_450 Cal_f_err_450 AC_cal AC_cal_err AC_cal_450 AC_cal_err_450 JCMT_Offset_x JCMT_Offset_y JCMT_Offset_x_450 JCMT_Offset_y_450 XC_off_x XC_off_x_err XC_off_y XC_off_y_err XC_off_x_450 XC_off_x_err_450 XC_off_y_450 XC_off_y_err_450 B B_err M M_err B_450 B_err_450 M_450 M_err_450 AC_amp AC_amp_err AC_sig_x AC_sig_x_err AC_sig_y AC_sig_y_err AC_theta AC_theta_err AC_amp_450 AC_amp_err_450 AC_sig_x_450 AC_sig_x_err_450 AC_sig_y_450 AC_sig_y_err_450 AC_theta_450 AC_theta_err_450 dx dy dx_450 dy_450 ddx ddy 
20160202-54 20160202 -1 SERPENS_MAIN_20160202_00054 2457421.218263902 45.0 0.091 0.01223 -1 0.0 0.0 0.9606916925620986 0.007591913936993416 -1 -1 0.939814545192656 0.18610978347089258 0.9160747178581723 4.798089042814151 0.0 0.0 0.0 0.0 0.0 0.17899148840760062 0.0 0.2094369893991814 0.0 0.19850831534743427 0.0 0.2000557815170888 26263.126193277993 170.24612463558918 -276.39979759424375 6.188252982835167 1100510.9593915322 34212.63719964305 -16794.154962365614 1243.5904465932008 25446.115293026694 730.5463922767537 6.263988113291555 0.3016387502046953 7.129721433740201 0.41899309125920137 3.3863730474732967 0.24287963728878142 1175012.592745257 158141.31017262617 4.833143591125578 0.8442651723843752 4.171552018562094 0.6282699084174349 4.801094318691475 0.6877201650162739 0.0 0.0 0.0 0.0 0.0 0.0
20160223-50 20160223 20160223 SERPENS_MAIN_20160223_00050 2457442.166574098 49.0 0.05 0.01112 0.1232 0.8290726594239165 0.6277716107075393 1.0207988128578933 0.007806258514795058 0.9473232180728325 0.03436501050947586 0.9922447663482636 0.20412002516532912 0.8924533528287333 1.7122938229308642 0.0 0.0 0.0 -2.0 0.09250131585932309 0.18571055362577826 0.2461614487093584 0.21552679819369283 0.006534564301972523 0.200214060157643 -1.741224397869729 0.24625320881143772 29107.53462649523 198.58001840204523 -312.6234407230115 7.218157899713589 1112703.4716945041 11882.480344901001 -15906.670902190264 431.91464858573477 28190.321305668494 854.5168902600509 7.053935409421265 0.4217433398782905 6.189145187420979 0.3058476145650682 8.18282387166183 0.26192720462354446 1141956.7499146012 26284.49588476375 5.53707605241241 0.179931741222549 4.474561990480669 0.11925263930928444 8.26660023693576 0.09364085420400613 -0.27750394757796926 -0.7384843461280752 -0.013069128603945046 -0.5175512042605419 -0.2644348189740242 -0.22093314186753332
20160317-51 20160317 20160317 SERPENS_MAIN_20160317_00051 2457465.1380439997 57.0 0.04 0.01212 0.1103 -1.8283114356948285 1.0244901497816095 0.9404651920834283 0.013879800381690937 0.7012825050657243 0.03416098358948589 0.926008066679466 0.19574085187295784 0.6328322798476724 1.405849307441907 3.0 3.0 1.0 4.0 3.2645999457979826 0.18620806709599808 2.9212175662678987 0.2111449194759546 1.2426516641050398 0.22413576509476402 3.7567392348035185 0.2716249930648061 26847.78838277912 176.0616604892624 -267.23190128665203 6.399641124004878 674855.8969295041 6805.246083593139 -7739.836608408957 247.36295665415898 26027.782910451166 672.4885101935319 6.392348186746907 0.27258678526789554 7.491703528744465 0.3952040231341573 6.7887730267130255 0.21431970798574962 678891.0046554924 12816.232218417646 6.759703304744721 0.21727009459282676 5.107924615046973 0.12364785855787853 21.018579113923717 0.07346658315020284 -0.7937998373939479 0.23634730119630376 -0.4853033282100796 0.4865215303929631 -0.3084965091838683 -0.2501742291966593
20160415-46 20160415 20160415 SERPENS_MAIN_20160415_00046 2457494.0362153016 50.0 0.04 0.01044 0.07446 0.6881463501211558 1.186929790692804 1.103520335867204 0.008767480763218795 1.1275934786803579 0.013160354448401749 1.065748928305457 0.2146167898170672 0.9657709433630457 1.4571754246714161 1.0 0.0 0.0 -2.0 1.110907060911444 0.18223648362982603 -0.0489477551258517 0.20375647508716854 -0.11095268358707244 0.19888733908856548 -2.106441130760061 0.22343051238542944 32048.214662739483 226.27222176703137 -367.1611835954478 8.224737970409302 1254706.8975382675 10975.778668130131 -18739.96034701633 398.95707183977987 31062.90410024259 1075.4449644955264 6.0881256009550295 0.3401802714618514 6.564139760837545 0.40914822001931606 0.2750000577715078 0.47907208495652936 1288872.336398664 34510.38598107382 4.973426073622081 0.17213964268150092 4.672252392079014 0.15186667235948462 -10.703877404940995 0.34962004692945 -0.33272118273433193 0.1468432653775551 0.22190536717414489 0.21288226152012157 -0.5546265499084768 -0.06603899614256648
20160521-39 20160521 -1 SERPENS_MAIN_20160521_00039 2457529.884687498 35.0 0.077 0.01387 -1 -0.10942762745627804 2.358288132877626 0.9796250535474303 0.007272257206328289 -1 -1 0.9676982985265977 0.19875694049597672 0.9108816990642947 9.60287502713994 -2.0 -2.0 -4.0 -2.0 -1.7041378749418072 0.18644118388232356 -1.9484676321062864 0.22214785998559902 -3.607151052924479 0.2802978755398027 -1.7691900567301957 0.38505194003915344 27096.739666860136 187.95638170078067 -295.3868779292174 6.832000632809199 1186731.1566207765 68069.88169708222 -16596.980891088882 2474.2627654341145 26292.503289028307 789.5872195028828 6.980294306327252 0.42159131963004576 6.08254258640807 0.2967109054940729 -57.93678587398975 0.22509543012203445 1305150.369523912 336405.81144008687 3.865458905677962 1.0478289455217227 5.281081866322175 1.9691618478351591 0.05934887781031246 0.6231340701757191 -0.8875863751745783 -0.15459710368114088 -0.785697894151042 -0.4616198865396086 -0.10188848102353631 0.30702278285846774
20160722-23 20160722 20160722 SERPENS_MAIN_20160722_00023 2457591.9213426 61.0 0.096 0.01196 0.3481 0.8765548024598708 0.013147137775781914 0.9788458924873453 0.010333127885845216 0.8649669092191322 0.05197591242831762 0.9503686959807454 0.20853672230464565 0.8766261011622757 4.838114058105355 -5.0 17.0 -9.0 19.0 -5.1572723172998 0.18603306569676367 16.582277698674346 0.22408432310047982 -9.513391884572854 0.24861267039363696 18.445347995842724 0.3172693846872918 26090.35970085808 193.20025138182845 -283.51233064566793 7.022609423725932 1025917.6432701008 32955.09703717704 -15325.499816280744 1197.8802977672535 25232.993270466246 814.4892641289287 6.114476624701332 0.32526251271138623 7.111502899439813 0.4826630267387294 0.05208498675990546 0.21477649997405227 1075489.0115459098 160283.48912935014 4.169376769508383 0.6879617239509483 5.282204965739251 1.1327002595402058 -0.03507297124932667 0.4823896599060203 0.4718169518993989 1.253166903976961 1.026783769145709 1.1093040083145524 -0.55496681724631 0.14386289566240862
20160827-12 20160827 20160827 SERPENS_MAIN_20160827_00012 2457627.7081480995 63.0 0.087 0.0111 0.2764 0.2698288312022604 0.943130803429959 1.0015163020974538 0.00798446477970723 0.808472834727452 0.03354820744069732 0.9790542841622896 0.19426329977137174 0.8557937945529366 2.35784957902051 3.0 7.0 1.0 8.0 2.9552257582829498 0.18253354473012956 6.8308331708105925 0.20638055609098746 0.7692185339420234 0.20808193275341297 7.90544922320737 0.24869437886823934 26946.549372447636 186.15142306616872 -303.3003151086372 6.766392522124701 914404.2744357974 15663.535951780901 -14577.031326707349 569.3517169804405 26074.36513276432 890.2508351005089 6.163303949104581 0.34685495704742225 6.685070089316399 0.42497164618453886 0.2383913033219309 0.43733778857176614 965730.9512130904 65221.14915825918 4.170407627085543 0.3147644368314493 4.776810961602182 0.40944756784238484 0.19571626232510547 0.3788940399938235 0.13432272515115073 0.5075004875682225 0.4615629321159531 0.18910155358526026 -0.3272402069648024 0.31839893398296226
20160929-12 20160929 20160929 SERPENS_MAIN_20160929_00012 2457660.7166781984 63.0 0.094 0.01248 0.3695 0.08273847222418224 2.1596232682284278 0.9521702916497568 0.009485366962850055 0.8205303866514974 0.06332598591312386 0.9479762047599491 0.200227303590683 0.786137865897109 4.250007327058204 -4.0 16.0 -7.0 17.0 -3.817785117335461 0.17921310136754312 15.840067370744464 0.21099651859327537 -6.864337079796712 0.25098790733806314 16.802161073157947 0.3043646445455518 25127.553012034194 184.97111412733412 -281.892090707602 6.723489637550437 778035.6616045112 25840.16309413338 -12210.482081992945 939.2605454833346 24328.3543826982 823.0699228766833 6.060629546516497 0.33438112594500463 6.832027892279054 0.4554094969793465 0.09309337266168223 0.27866912670469723 817935.6485351598 127293.89060435642 4.788405270972661 0.9563336690326142 4.286159327448929 0.7635135137030811 -23.49164590654525 1.0587999200070761 -0.5466446479936167 0.47979788776660826 -0.2713258404065755 0.3956778536841057 -0.2753188075870412 0.08412003408250257
20170222-70 20170222 -1 SERPENS_MAIN_20170222_00070 2457807.154189799 45.0 0.097 0.01019 -1 -1.8660984574919857 -1.283481323871083 1.0623664268473898 0.013887387990152444 -1 -1 1.0510684770173988 0.20652248477990903 1.2412110879786045 3.1542584012893133 -1.0 1.0 -3.0 1.0 -0.9666930766352948 0.18093443832794284 0.867107126433325 0.20972887335718735 -2.991785833066018 0.23996318227101665 0.8427883816673614 0.277939769375478 32994.03738222302 214.3787837028375 -355.9185205887539 7.792425001269133 2008286.0206278423 30782.278625400704 -31457.822284320682 1118.9008182441912 31957.0023810308 976.8477072473132 6.927481332947808 0.42304111461123817 6.250706224932078 0.32424690472029494 -1.4366946217152583 0.3044038027961318 2106355.7549651247 123401.700717653 4.760931801482886 0.35569413503343933 4.348242880792515 0.2953926644729652 -1.5299006736971956 0.4868482361592107 -0.0999207700941156 0.398678620700025 -0.01642833386796383 0.3144232366652773 -0.08349243622615177 0.08425538403474775
20170320-56 20170320 20170320 SERPENS_MAIN_20170320_00056 2457833.0768286996 41.0 0.066 0.01058 0.2385 -0.39570036862533875 3.4748776448866225 1.0165037951879832 0.00750315395636542 0.815709669679663 0.025723348685444066 1.0138759641656705 0.23010803749992545 0.923079197030544 2.1869554614486444 -1.0 -1.0 -3.0 -2.0 -0.7640392229209283 0.1879499639556692 -1.2155912687758814 0.23174364250140883 -2.8993352571440028 0.20429847914909843 -2.3562422566167243 0.2724982246029183 30747.28682408665 229.3782117634175 -328.2180156056152 8.337637168717718 1099124.382589793 15717.862317239918 -17061.952865714855 571.3264138941267 29808.090673288247 880.252842710785 6.074747797029312 0.28984479704461436 7.246794079558905 0.4557583396157819 -2.9519775926469944 0.17688980298730048 1147180.0417931678 36538.70751558043 5.386385940998606 0.24581787959453333 4.032167996662241 0.1388110923590992 -7.599514265771979 0.08681068211468101 -0.7078823312372151 0.6467738063276443 -0.2013294857119945 0.7124845132334485 -0.5065528455252206 -0.06571070690580427
